forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;60;240;0.3;0.1;0.01831020481113516;60
exponential;60;240;0.3;0.2;0.006757751801802737;60
exponential;60;240;0.5;0.1;0.026823965207235005;60
exponential;60;240;0.5;0.2;0.015271512197902584;60
exponential;60;240;0.8;0.1;0.03465735902799726;60
exponential;60;240;0.8;0.2;0.023104906018664842;60
exponential;60;300;0.3;0.1;0.01831020481113516;60
exponential;60;300;0.3;0.2;0.006757751801802737;60
exponential;60;300;0.5;0.1;0.026823965207235005;60
exponential;60;300;0.5;0.2;0.015271512197902584;60
exponential;60;300;0.8;0.1;0.03465735902799726;60
exponential;60;300;0.8;0.2;0.023104906018664842;60
exponential;60;360;0.3;0.1;0.01831020481113516;60
exponential;60;360;0.3;0.2;0.006757751801802737;60
exponential;60;360;0.5;0.1;0.026823965207235005;60
exponential;60;360;0.5;0.2;0.015271512197902584;60
exponential;60;360;0.8;0.1;0.03465735902799726;60
exponential;60;360;0.8;0.2;0.023104906018664842;60
exponential;90;0;0.3;0.1;0.01220680320742344;60
exponential;90;0;0.3;0.2;0.0045051678678684915;60
exponential;90;0;0.5;0.1;0.017882643471490003;60
exponential;90;0;0.5;0.2;0.010181008131935057;60
exponential;90;0;0.8;0.1;0.023104906018664842;60
exponential;90;0;0.8;0.2;0.015403270679109895;60
exponential;90;5;0.3;0.1;0.01220680320742344;60
exponential;90;5;0.3;0.2;0.0045051678678684915;60
exponential;90;5;0.5;0.1;0.017882643471490003;60
exponential;90;5;0.5;0.2;0.010181008131935057;60
exponential;90;5;0.8;0.1;0.023104906018664842;60
exponential;90;5;0.8;0.2;0.015403270679109895;60
exponential;90;10;0.3;0.1;0.01220680320742344;60
exponential;90;10;0.3;0.2;0.0045051678678684915;60
exponential;90;10;0.5;0.1;0.017882643471490003;60
exponential;90;10;0.5;0.2;0.010181008131935057;60
exponential;90;10;0.8;0.1;0.023104906018664842;60
exponential;90;10;0.8;0.2;0.015403270679109895;60
exponential;90;30;0.3;0.1;0.01220680320742344;60
exponential;90;30;0.3;0.2;0.0045051678678684915;60
exponential;90;30;0.5;0.1;0.017882643471490003;60
exponential;90;30;0.5;0.2;0.010181008131935057;60
exponential;90;30;0.8;0.1;0.023104906018664842;60
exponential;90;30;0.8;0.2;0.015403270679109895;60
exponential;90;60;0.3;0.1;0.01220680320742344;60
exponential;90;60;0.3;0.2;0.0045051678678684915;60
exponential;90;60;0.5;0.1;0.017882643471490003;60
exponential;90;60;0.5;0.2;0.010181008131935057;60
exponential;90;60;0.8;0.1;0.023104906018664842;60
exponential;90;60;0.8;0.2;0.015403270679109895;60
exponential;90;120;0.3;0.1;0.01220680320742344;60
exponential;90;120;0.3;0.2;0.0045051678678684915;60
exponential;90;120;0.5;0.1;0.017882643471490003;60
exponential;90;120;0.5;0.2;0.010181008131935057;60
exponential;90;120;0.8;0.1;0.023104906018664842;60
exponential;90;120;0.8;0.2;0.015403270679109895;60
exponential;90;180;0.3;0.1;0.01220680320742344;60
exponential;90;180;0.3;0.2;0.0045051678678684915;60
exponential;90;180;0.5;0.1;0.017882643471490003;60
exponential;90;180;0.5;0.2;0.010181008131935057;60
exponential;90;180;0.8;0.1;0.023104906018664842;60
exponential;90;180;0.8;0.2;0.015403270679109895;60
exponential;90;240;0.3;0.1;0.01220680320742344;60
exponential;90;240;0.3;0.2;0.0045051678678684915;60
exponential;90;240;0.5;0.1;0.017882643471490003;60
exponential;90;240;0.5;0.2;0.010181008131935057;60
exponential;90;240;0.8;0.1;0.023104906018664842;60
exponential;90;240;0.8;0.2;0.015403270679109895;60
exponential;90;300;0.3;0.1;0.01220680320742344;60
exponential;90;300;0.3;0.2;0.0045051678678684915;60
exponential;90;300;0.5;0.1;0.017882643471490003;60
exponential;90;300;0.5;0.2;0.010181008131935057;60
exponential;90;300;0.8;0.1;0.023104906018664842;60
exponential;90;300;0.8;0.2;0.015403270679109895;60
exponential;90;360;0.3;0.1;0.01220680320742344;60
exponential;90;360;0.3;0.2;0.0045051678678684915;60
exponential;90;360;0.5;0.1;0.017882643471490003;60
exponential;90;360;0.5;0.2;0.010181008131935057;60
exponential;90;360;0.8;0.1;0.023104906018664842;60
exponential;90;360;0.8;0.2;0.015403270679109895;60
exponential;120;0;0.3;0.1;0.00915510240556758;60
exponential;120;0;0.3;0.2;0.0033788759009013686;60
exponential;120;0;0.5;0.1;0.013411982603617503;60
exponential;120;0;0.5;0.2;0.007635756098951292;60
exponential;120;0;0.8;0.1;0.01732867951399863;60
exponential;120;0;0.8;0.2;0.011552453009332421;60
exponential;120;5;0.3;0.1;0.00915510240556758;60
exponential;120;5;0.3;0.2;0.0033788759009013686;60
exponential;120;5;0.5;0.1;0.013411982603617503;60
exponential;120;5;0.5;0.2;0.007635756098951292;60
exponential;120;5;0.8;0.1;0.01732867951399863;60
exponential;120;5;0.8;0.2;0.011552453009332421;60
